pid,title,summary,dates,repository,collection
"umd:79977
","Humrichouse Family photograph album, circa 1860-1885","Album contains images and photographs of Humrichouse family members from Maryland, including members of the Hawken, Boyd, Boteler, Levy, Hammond, and McComas families. The album front cover is not attached, but the leather binding and back cover with metal embellishments remains a part of the album. It was created by D. Appleton & Company from New York in 1862, but it is unknown who assembled the images in the album. The album includes photograph types of the Civil War era, including tintype pictures, and most individual pictures are pasted to cardboard mounts and are carte-de-visite (CDV) type. Most pictures were taken by photographers from the Baltimore and Hagerstown, Maryland areas and are named on the back of each image. Individual digitized images of pictures are also available.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79978
","Carte-de-visite of Mary Hadelman Humrichouse in the 1830s, circa 1860-1870","Carte-de-visite of Mary Hadelman Humrichouse in the 1830s, circa 1860-1870. Born 1756, died 1839. Caption in album reads: ""wife of Captain Peter Humrichouse, stepdaughter of the Reverend Chris Frederick Post. Buried in the Old Graveyard of Zion Reformed Church in Hagerstown, Md."" Image reproduced by Pittman & Wolfrom Photographers, N. E. cor. 5th & Pine, St. Louis. Back of image contains a R13 2 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1830-1839,Historical Manuscripts,Byron Family papers
"umd:79979
","Captain Peter Humrichouse in the 1830s, circa 1860-1870 ","Carte-de-visite of an earlier drawing of Captain Peter Humrichouse from the 1830s, circa 1860-1870. Born 1753, died 1837. Caption in album reads: ""Captain Peter Humrichouse of Revolutionary Fame Born October 1753, Died 1837."" Image reproduced by Pittman & Wolfrom Photographers, N. E. cor. 5th & Pine, St. Louis. Back of image contains a R13 2 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1870,Historical Manuscripts,Byron Family papers
"umd:79980
","C. W. Humrichouse, circa 1860-1885","Carte-de-visite of C. W. Humrichouse sitting in a chair. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79981
","Mrs. C. W. Humrichouse (Mary Hawken), circa 1860-1885","Carte-de-visite of Mrs. C. W. Humrichouse (Mary Hawken) as a young woman, in front of a landscape backdrop, circa 1860-1885. Born 1827, died 1906. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79982
","Maria Levy, circa 1860-1885","Carte-de-visite of Maria Levy, circa 1860-1885. Born 1804. Caption in album reads ""Mother of C. W. H. (Maria Levy)."" Photograph taken at Shorey's Gallery, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains an 1866 3 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79983
","William Hawken, circa 1860-1885","Carte-de-visite of William Hawken as an older man, circa 1860-1885. Caption in album reads ""Grandfather William Hawken Son of Christian Hawken Grandson of Nicholas Hawken."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79984
","William Humrichouse as a youth, circa 1860-1885","Carte-de-visite of William Humrichouse as a youth, holding a hat, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79985
","Leah Humrichouse, circa 1860-1885","Carte-de-visite of Leah Humrichouse as a young girl, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79986
","J. Humrichouse, circa 1860-1885","Carte-de-visite of J. Humrichouse as a young boy, circa 1860-1885. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79987
","Mary Humrichouse, circa 1860-1885","Carte-de-visite of Mary Humrichouse as a girl, in front of a landscape backdrop, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79988
","Mrs. George Boyd, circa 1860-1885","Carte-de-visite of Mrs. George Boyd and a baby, circa 1860-1885. Caption in album reads ""Mrs George Boyd Sister of Mrs C. W. Humrichouse."" Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79989
","Alice Boyd, circa 1860-1885","Carte-de-visite of Alice Boyd as a teenager, circa 1860-1885. Photograph is from Shorey's Gallery, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains an 1865 two cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79990
","Mary Humrichouse, circa 1860-1885","Carte-de-visite of Mary Humrichouse as a teenager, circa 1860-1885. Photograph taken at W. M. F. Shorey Photgrapher, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains an 1865 R15c US Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79991
","Georgiana Boyd, circa 1860-1885","Carte-de-visite of Georgiana Boyd as a toddler, circa 1860-1885. Photograph taken at Shorey's Galley, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains a 2 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79992
","Lucy Boteler, circa 1860-1885","Carte-de-visite of Lucy Boteler as a young woman, circa 1860-1885. Photograph taken at Osborn, 73 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains a R13 2 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79993
","Augutus Boteler, circa 1860-1885","Carte-de-visite of Augustus Boteler as a young man, circa 1860-1885. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79994
","Laura Boteler, circa 1860-1885","Carte-de-visite of Laura Boteler, circa 1860-1885. Photograph taken at Shorey's Gallery, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains an 1864 3 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79995
","Silas Boteler, circa 1860-1885","Carte-de-visite of Silas Boteler as a teenager, circa 1860-1885. Photograph taken at Shorey's Gallery, 87 W. Baltimore Street, Baltimore, Maryland. Back of photograph contains a 3 cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79996
","Mrs. Bishop, circa 1860-1885","Carte-de-visite of Mrs. Bishop posing next to a chair, circa 1860-1885. Caption in album reads ""Mrs Bishop wife of Rev. Bishop, Albert Humrichouse's daughter."" Photograph taken at S. G. Rogers, Carmichaels, Green County, Pennsylvania. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79997
","Sam Hawken, circa 1860-1885","Carte-de-visite of Sam Hawken sitting with a cane and top hat, circa 1860-1885. Photograph taken at Pittman & Wolfrom Photographers, N.E. cor. 5th & Pine, St. Louis. Back of photograph contains a R13 two cent Internal Revenue stamp. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79998
","Lulu Levy, circa 1860-1885","Carte-de-visite of Lulu Levy as a child, circa 1860-1885. Photograph taken at E. M. Recher Photographer, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:79999
","Mrs. W. D. Levy, circa 1860-1885","Tintype of Mrs. W. D. Levy, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80000
","Uncle Bill, circa 1860-1885","Carte-de-visite of ""Uncle Bill"" standing next to a railing, holding a hat, circa 1860-1885. Photograph taken at J. H. Walzl, 213 Baltimore Street, Baltimore, Maryland. Back of photograph contains drawing and caption ""Southern Photographic Temple of Art."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80002
","Mrs. Hammond, circa 1860-1885","Carte-de-visite of Mrs. Hammond, circa 1860-1885. Photograph taken at Keeler Suddards & Fennemore, No. 820 Arch Street, Philadelphia, Pennsylvania. Back of photograph contains drawing. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80003
","Mr. Hammond, circa 1860-1885","Carte-de-visite of Mr. Hammond, circa 1860-1885. Photograph taken at E. M. Recher, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80004
","Mr. Bishop, circa 1860-1885","Carte-de-visite of Mr. Bishop as a young man, circa 1860-1885. Photograph taken at Shorey's Gallery, 87 W. Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80005
","Reverend Bishop, circa 1860-1885","Carte-de-visite of Reverend Bishop posing next to a chair, circa 1860-1885. Photograph taken at W. M. F. Shorey, 87 W. Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80006
","Professor Mittler, circa 1860-1885","Carte-de-visite of Professor Mittler, circa 1860-1885. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80007
","Miss Dobler, circa 1860-1885","Carte-de-visite of Miss Dobler posing next to a chair, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80008
","Tintype of Mamie Humrichouse, circa 1890-1895","Tintype of Mamie Humrichouse as a young woman, circa 1890-1895. Born 1874, died 1957. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1890-1895,Historical Manuscripts,Byron Family papers
"umd:80009
","Carte-de-visite of Mamie Humrichouse, circa 1890-1895","Carte-de-visite of Mamie Humrichouse, circa 1890-1895. Born 1874, died 1957. Photograph taken by E. M. Recher, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1890-1895,Historical Manuscripts,Byron Family papers
"umd:80010
","Tintype of Mamie Humrichouse wearing a hat, circa 1890-1895","Tintype of Mamie Humrichouse as a young woman, wearing a hat, circa 1890-1895. Born 1874, died 1957. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1890-1895,Historical Manuscripts,Byron Family papers
"umd:80011
","Mamie Humrichouse sitting with two women, circa 1874-1895","Carte-de-visite of Mamie Humrichouse sitting with two women, circa 1874-1895. Born 1874, died 1957. Photograph taken by B. W. T. Phreaner, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1874-1895,Historical Manuscripts,Byron Family papers
"umd:80012
","Mamie Humrichouse, circa 1874-1895","Carte-de-visite of Mamie Humrichouse, circa 1874-1895. Born 1874, died 1957. Photograph taken by Cox & Ward Photographic Artists, 56 N. Charles Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1874-1895,Historical Manuscripts,Byron Family papers
"umd:80013
","Older male member of the Hawken family, circa 1860-1885","Carte-de-visite of an older male member of the Hawken family, circa 1860-1885. Photograph taken at Pittman & Wolfrom Photographers, N.E. cor. 5th & Pine, St. Louis. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80014
","Miss Houck, circa 1860-1885","Carte-de-visite of Miss Houck as a young girl, circa 1860-1885. Photograph taken at E. M. Recher, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80015
","Stonewall Jackson, 1861","Carte-de-visite of Stonewall Jackson, 1861. Caption on photo reads ""Brig. Gen. 'Stonewall' Jackson. Entered according to Act of Congress A.D. 1861, by E. Anthony, in the Clerk's office of the District Court of the U.S. for the So, District of New York."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1861,Historical Manuscripts,Byron Family papers
"umd:80016
","Mamie Humrichouse, circa 1874-1895","Carte-de-visite of Mamie Humrichouse as a young woman, circa 1874-1895. Born 1874, died 1957. Caption in album reads ""Mamie H."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1874-1895,Historical Manuscripts,Byron Family papers
"umd:80017
","Tintype of William Hawken Humrichouse sitting, circa 1860-1885","Tintype of William Hawken Humrichouse sitting with another man, circa 1860-1885. Caption in album reads ""W. H. H."" Back of photograph reads ""Pope's Original Pearltype Picture, from his Celebrated Premium Galleries of Photography, (New Iron Building.) No. 91 W. Baltimore Street. First class pictures taken in stormy weather. Children's pictures beautifully executed. Pope's 8 x 10 Pearltype, one dollar. With frame complete, $2.00. These are beautiful parlor ornaments. Porcelain and photographs, all styles, at low prices. Large photographs copied from old ambrotypes. Don't handle these pictures until dry."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80018
","Tintype of William Hawken Humrichouse, circa 1860-1885","Tintype of William Hawken Humrichouse, circa 1860-1885. Caption on photo reads ""W. H. H."" From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80019
","Charlie Humrichouse as a toddler, circa 1860-1885","Tintype of Charlie Humrichouse as a toddler, circa 1860-1885. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80020
","Mamie Humrichouse as a young child, circa 1874-1895","Tintype of Mamie Humrichouse as a young child, circa 1874-1895. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1874-1895,Historical Manuscripts,Byron Family papers
"umd:80021
","Dr. Martin, circa 1860-1885","Carte-de-visite of Dr. Martin, circa 1860-1885. Photograph taken at E. M. Recher, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80022
","Mrs. W. H. Humrichouse, circa 1860-1885","Tintype of Mrs. W. H. Humrichouse wearing a hat, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80023
","Mrs. Giles, circa 1860-1885","Carte-de-visite of Mrs. Giles, circa 1860-1885. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824. ",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80024
","William Hawken Humrichouse, circa 1860-1885","Tintype of William Hawken Humrichouse, circa 1860-1885. From the Humrichouse Family photograph Album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80025
","Dr. Morris, circa 1860-1885","Carte-de-visite of Dr. Morris, circa 1860-1885. Photograph produced by Lutheran Board of Publication, No. 42 North Ninth Street, Philadelphia, Pennsylvania. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80026
","Dr. Seiss, circa 1860-1885","Carte-de-visite of Dr. Seiss, circa 1860-1885. Photograph produced by Lutheran Board of Publication, No. 42 North Ninth Street, Philadelphia, Pennsylvania. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80027
","William Davis, circa 1860-1885","Carte-de-visite of William Davis, circa 1860-1885. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80028
","Mrs. William Davis, circa 1860-1885","Carte-de-visite of Mrs. William Davis as a young woman, circa 1860-1885. Caption on photo reads ""Mrs W. Davis."" Photograph taken at P. L. Perkins, 205 & 207 Baltimore Street, Baltimore, Maryland. Back of photograph contains a drawing. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80029
","Mrs. Stonebraker, circa 1860-1885","Carte-de-visite of Mrs. Stonebraker with a landscape backdrop, circa 1860-1885. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80030
","Miss Stonebraker, a young girl, circa 1860-1885","Carte-de-visite of Miss Stonebraker as a young girl, circa 1860-1885. Photograph taken by Bendann Brothers, 207 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80033
","Mary and Sandra Giles with Nancy, circa 1860-1885","Carte-de-visite of Mary and Sandra Giles with Nancy, circa 1860-1885. Photograph taken by E. M. Recher, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80034
","Charles W. Humrichouse as a young child, circa 1860-1885","Carte-de-visite of Charles W. Humrichouse as a young child, circa 1860-1885. Caption reads ""Charles W. Humrichouse son of Nettie + William Humrichouse."" Photograph taken at 42 N. Charles Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80035
","Mrs. Heard, circa 1860-1885","Carte-de-visite of Mrs. Heard as a young woman, circa 1860-1885. Photograph taken at Israel & Co. Photographers, 125 Baltimore Street, Baltimore, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80036
","William Hawken, circa 1860-1885","Carte-de-visite of William Hawken as an older man, circa 1860-1885. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80259
","Mary McComas as a child, 1880","Carte-de-visite of Mary McComas as a child, circa 1860-1885. Photograph taken by R. W. C. Phreaner Photographer, Hagerstown, Maryland. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1880,Historical Manuscripts,Byron Family papers
"umd:80260
","William H. Humrichouse, circa 1860-1885","Carte-de-visite of William H. Humrichouse, circa 1860-1885. Photograph taken by Richard Walzl, No. 46 N. Charles Street, Baltimore, Maryland. Back of photograph contains drawing. From the Humrichouse Family photograph album. To view the entire album, please visit http://hdl.handle.net/1903.1/11824.",1801-1900;1860-1885,Historical Manuscripts,Byron Family papers
"umd:80558
","John William Stewart Family Papers, Series I, Folder1: Family Correspondence, To Dear Ones (John Stewart Family) -- From Rosa Stewart Annan, 1880","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844.  Series I consists of correspondence between John William Stewart and his family and friends.  Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1880-12-28,Historical Manuscripts,John William Stewart Family papers
"umd:80559
","John William Stewart Family Papers, Series I, Folder 2: Family Correspondence, To Mary -- From ?, 1878","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1878-05-2,Historical Manuscripts,John William Stewart Family papers
"umd:80560
","John William Stewart Family Papers, Series I, Folder 3: Family Correspondence, To Will M. Ogilby -- From John W. Stewart, 1865","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1865,Historical Manuscripts,John William Stewart Family papers
"umd:80561
","John William Stewart Family Papers, Series I, Folder 4: Family Correspondence, To John W. Stewart -- From Augusta, 1865-1866","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1865-1866,Historical Manuscripts,John William Stewart Family papers
"umd:80562
","John William Stewart Family Papers, Series I, Folder 5: Family Correspondence, To John W. Stewart -- From John M. Annan, 1860-1861","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1860-1861,Historical Manuscripts,John William Stewart Family papers
"umd:80563
","John William Stewart Family Papers, Series I, Folder 6: Family Correspondence, To John W. Stewart -- From A. A. Bloombergh, 1861","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1861,Historical Manuscripts,John William Stewart Family papers
"umd:80564
","John William Stewart Family Papers, Series I, Folder 7: Family Correspondence, To John W. Stewart -- From Margaret B. Grier, 1861, 1863","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1861;1863,Historical Manuscripts,John William Stewart Family papers
"umd:80565
","John William Stewart Family Papers, Series I, Folder 8: Family Correspondence, To John W. Stewart -- From John C. Holliday, 1880","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1880,Historical Manuscripts,John William Stewart Family papers
"umd:80566
","John William Stewart Family Papers, Series I, Folder 9: Family Correspondence, To John W. Stewart -- From Rev. James Russell Miller, 1881","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1881,Historical Manuscripts,John William Stewart Family papers
"umd:80567
","John William Stewart Family Papers, Series I, Folder 10: Family Correspondence, To John W. Stewart -- From Mont, 1862","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1862,Historical Manuscripts,John William Stewart Family papers
"umd:80568
","John William Stewart Family Papers, Series I, Folder 11: Family Correspondence, To John W. Stewart -- From J. Taylor Motter, 1862","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1862,Historical Manuscripts,John William Stewart Family papers
"umd:80569
","John William Stewart Family Papers, Series I, Folder 12: Family Correspondence, To John W. Stewart -- From Will M. Ogilby, 1865","John William Stewart, the son of John Sheeler Stewart (b.1812) and Margaret Barbour Witherow (1818-1902), was born in Emmitsburg, Frederick County, Maryland on January 21, 1844. Series I consists of correspondence between John William Stewart and his family and friends. Among the topics covered in the letters are the Civil War, travel and religion. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1470.",1801-1900;1865,Historical Manuscripts,John William Stewart Family papers
